cerl_control_number|title|publication_year|language_primary|publication_place|publication_country|publisher
4359314|King Henry VI|1819|English|London|England|Maurice
4359324|Othello|1819|English|London|England|Maurice
4359326|Romeo and Juliet|1819|English|London|England|Maurice
4374275|The plays of William Shakspeare. .|1799|English|Basel|Switzerland|printed and sold by J. J. Tourneisen
4374834|The plays of William Shakespeare, in eight volumes, with the corrections and illustrations of various commentators; to wich are added notes by Sam Johnson|1768|English|London|England|printed for H. Woodfall, C. Bathurst, J. Beecroft ... [etc.]
4377832|La morte di Giulio Cesare tragedia di G. Shakspeare recata in versi italiani da Michele Leoni di Parma|1815|Italian|Pisa|Italy|presso Niccolò Capurro
4384081|Opere drammatiche di Shakespeare volgarizzate da una dama veneta. Tomo 1. [-3.|1798|Italian|Venice|Italy|presso gli eredi Costantini
4386688|Othello, the moor of Venice. A tragedy|1711|English|London|England|f. the company
4388603|The life of Henry VIII|1758|English|London|England|Printed for D. Browne, [etc.]
4388631|Macbeth, a tragedy|1794|English|London|England|T. Longman [etc.]
4390811|Modern characters for 1778|1778|English|London|England|NA
4391231|Lvcrece|1594|English|London|England|Printed by Richard Field, for Iohn Harrison, and are to be sold at the signe of the White Greyhound in Paules Church-yard
4391491|The beauties of Shakespear|1757|English|London|England|Printed for T. Waller
4391568|The plays of William Shakspeare|1778|English|London|England|NA
4396684|Julius Caesar|1691|English|London|England|Printed for Henry Herringman, and Richard Bentley at the Post-house, in Russel-street, Covent-Garden
4397289|The tragedy of Hamlet, Prince of Denmark|1703|English|London|England|NA
4397703|Othello|1822|English|London|England|Pub. for the Proprietors, by W. Simpkin, and R. Marshall [etc.]
4399375|K. Henry IV. with the humours of sir John Falstaff. A tragi-comedy|1721|English|London|England|f. T. Johnson
4403111|The merry wives of Windsor|1734|English|London|England|NA
4443901|Coriolanus [Texte imprimé|1824|English|Paris|France|Librairie européenne de Baudry
4457528|König Heinrich der Vierte|1830|German|NA|NA|NA
4458059|Macbeth|1830|German|NA|NA|NA
4460057|König Lear. Ein Trauerspiel in fünf Aufzügen  Nach Shakespear|1785|German|Hamburg|Germany|Herold
4460103|Jahn|1791|German|Vienna|Austria|[o. Verl.]
4461406|Othello, der Mohr von Venedig, und Romeo und Julie, Zwey Trauerspiele von Willhelm Shakespear|1779|German|Frankfurt|Germany|Gegel;[o. Verl.]
4461409|Romeo und Julie, ein bürgerliches Trauerspiel in fünf Aufzügen|1769|German|Leipzig|Germany|Dyck
4462122|Othello. Ein Trauerspiel In fünf Aufzügen. Nach S'hackespear|1776|German|Worms|Germany|[o. Verl.]
4463116|Mit Bewilligung einer hohen Obrigkeit wird heute Montag, den 27 Octobr. 1783 von der Abtischen Gesellschaft deutscher Schauspieler aufgeführet werden|1783|German|Bremen|Germany|NA
4463147|Mit Bewilligung hoher Obrigkeit wird heute Donnerstag den 1ten Novembr. 1792 aufgeführet werden|1792|German|Bremen|Germany|NA
4472164|William Shakspeare's selected plays, from the last edition of Johnson and Steevens; with brief explanatory notes, extracted from various commentators. Volume the first (-the sixth|1809|English|Avignon|France|printed and sold by Seguin freres
4477022|Shakspeare's Othello, the moor of Venice, a tragedy, in five acts. From the prompt copy of the Theatre Royal Drury Lane|1822|English|London|England|printed by J. Tabby, Theatre Royal, Drury Lane. Published by Mr. Miller, Fleet Street; and may be had of all Booksellers
4484177|The works of Shakespeare: in eight volumes. Collated with the oldest copies, and corrected: with notes, explanatory, and critical: by Mr. Theobald|1757|English|London|England|printed for C. Hitch and L. Hawes : H. Lintot : J. and R. Tonson : J. Hodges : B. Dod : J. Rivington : M. and T. Longman : J. Brindley : C. Corbet, and T. Caston
4485720|A midsommer nights dreame|1600|English|London|England|for Thomas Fisher, and are to be soulde at his shoppe, at the signe of the White Hart, in Fleetestreete
4497560|King Lear|1822|English|Boston Ma|USA|Wells and Lily
4500140|The excellent history of the merchant of Venice|1619|English|NA|NA|Printed by J. Roberts
4500597|King Lear|1820|English|London|England|Pub. for the Proprietors, by W. Simpkin, and R. Marshall [etc.]
4520247|The Works... in six volumes... [Texte imprimé|1723|English|London|England|NA
4520248|The Works... in eight volumes... by Mr. Pope and Mr. Warburton [Texte imprimé|1747|English|London|England|NA
4520249|The Life and death of Richard III... [Texte imprimé|1758|English|Glasgow|Scotland|NA
4525691|Shakspeare's Schauspiele., I-V|1823|German|Leipzig|Germany|F. A. Brockhaus
4530348|William Shakespeare's Comedies, histories and tragedies. Published according to the true original copies [Texte imprimé|1623|English|London|England|Print by J. Jaggard and Ed. Blount
4530871|As you like it, A comedy in five acts, by William Shapespeare, with remarks by Mrs Inchbald [Texte imprimé|1808|English|London|England|Longman
4530874|The Merry wives of Windsor, A comedy in five acts, by William Shapespeare, with remarks by Mrs Inchbald [Texte imprimé|1808|English|London|England|Longman
4530876|King Henry VIII, A historical play in five acts, by William Shapespeare, with remarks by Mrs Inchbald [Texte imprimé|1808|English|London|England|Longman
4530878|Measure for measure, A comedy in five acts, by William Shapespeare, with remarks by Mrs Inchbald [Texte imprimé|1808|English|London|England|Longman
4530879|The Winter's tale, A play in five acts, by William Shapespeare, with remarks by Mrs Inchbald [Texte imprimé|1808|English|London|England|Longman
4530893|Coriolanus or the roman matron, An historical tragedy in five acts, by William Shakespeare... with remarks by Mrs Inchbald [Texte imprimé|1808|English|London|England|Longman
4530894|Othello, The Moor of Venice, A tragedy in five acts, by William Shakespeare... with remarks by Mrs Inchbald [Texte imprimé|1808|English|London|England|Longman
4530895|The Tempest or the enchanted Island, A play in five acts, by William Shakespeare... with remarks by Mrs Inchbald [Texte imprimé|1808|English|London|England|Longman
4530896|Twelgth night or what you will; A comedy in five acts, by William Shakespeare... with remarks by Mrs Inchbald [Texte imprimé|1808|English|London|England|Longman
4530920|The Merchant of Venice, A Comedy in five acts, by William Shapespeare..., with remarks by Mrs Inchbald [Texte imprimé|1808|English|London|England|Longman
4530921|Much ado about nothing, A comedy in five acts, by William Shapespeare, with remarks by Mrs Inchbald [Texte imprimé|1808|English|London|England|Longman
4533630|Shakespéare et Addisson mis en point de comparaison, ou Imitation et traduction libres en vers, des monologues d'Hamlet et de Caton. Par M. Dwall, correspondant du Musée de Paris, & du Cercle des philadelphes du Cap-françois|1786|French|Paris|France|M. DCC. LXXXVI
4534865|Macbeth, a tragedy, written by William Shakespeare [Texte imprimé|1785|English|London|England|R. Rowndall
4535196|Shakespeare's winter's tale a play with alterations by J.P. Kemble, now first published as it is acted.. theatre royal Drury Lane 1802 [Texte imprimé|1802|English|London|England|C. Lowndes
4535197|Shakespeare's King John a historical tragedy revised by J.P. Kemble, and now first published as it is acted.. theatre royal Drury Lane November 15, 1800 [Texte imprimé|1800|English|London|England|C. Lowndes
4535208|Hamlet, prince of Denmark, a tragedy as it is acted at the Theatres Royal in Dury lane and Covent Garden by William Shakespeare [Texte imprimé|1776|English|London|England|J. Withworth
4536323|Macbeth, a tragedy, written by William Shakespeare as performed at the Theatre Royal, Drurg Lane [Texte imprimé|1824|English|London|England|C.Lowndes
4548639|Containing The Tempest; Two Gentlemen Of Verona; Merry Wives Of Winsor; Twelfth-Night: Or What You Will; Measure For Measure; Much Ado About Nothing; A Midsummer-Night's Dream|1797|English|London|England|Law [u.a.];Longman
4548640|Containing Love's Labour's Lost; Merchant of Venice; As You Like It; All's Well, That Ends Well; Taming Of The Shrew; Winter's Tale; Comedy Of Errors|1797|English|London|England|Law [u.a.];Longman
4548641|Containing Macbeth; King John; King Richard II.; King Henry IV. Part I; King Henry IV. Part II. King Henry V|1797|English|London|England|Law [u.a.];Longman
4548642|Containing King Henry VI. Part I; King Henry VI. Part II; King Henry VI. Part III; King Richard III.; King Henry VIII.; Troilus And Cressida|1797|English|London|England|Law [u.a.];Longman
4548643|Containing Timon Of Athens; Coriolanus; Julius Cæsar; Antony And Cleopatra; Cymbeline; Titus Andronicus|1797|English|London|England|Law [u.a.];Longman
4548644|Containing Pericles; King Lear; Romeo And Juliet; Hamlet; Othello|1797|English|London|England|Law [u.a.];Longman
4580594|Macbet tragedia di Guglielmo Shakspeare recata in italiano da Giuseppe Nicolini|1830|Italian|Brescia|NA|per Francesco Cavalieri editore
4581744|The dramatic works of William Shakespeare, from the correct edition of Isaac Reed, Esq. With copious annotations. Vol. 1. (-12.) - Stereotype edition|1825|English|Dublin|Ireland|J. Cumming;J. Sutherland;printed for J. Walker : G._Offor : Sharpe and sons
4581745|The dramatic works of William Shakespeare, from the correct edition of Isaac Reed, Esq. With copious annotations. Vol. 1. (-12.) - Stereotype edition|1825|English|Dublin|Ireland|J. Cumming;J. Sutherland;printed for J. Walker : G. Offor :_Sharpe and sons
4581855|Macbeth: a tragedy, in five acts, by William Shakspeare. Printed from the acting copy, with remarks, biographical and critical, by D.-G. To which are added, a description of the costume, cast of the characters, entrances and exits, relative positions of the performers on the stage, and the whole of the stage business, as performed at the Theatres Royal, London. Embellished with a fine engraving drawing taken in the theatre by Mr. R. Cruikshank|1829|English|London|England|John Cumberland, 2, Cumberland Terrace, Camden New Town
4583209|La Tempesta dramma di G. Shakspeare recato in versi italiani da Michele Leoni di Parma|1815|Italian|Pisa|Italy|presso Niccolò Capurro
4584853|Othello, the Moore of Venice. A tragedy|1765|English|London|England|H. Woodfall
4592047|A midsummer night's dream|1778|English|London|England|NA
4592056|The second part of Henry IV|1734|English|London|England|J. Tonson
4592057|King John|1827|English|London|England|s.n
4594953|Shakespeare's poems .|1771|English|Dublin|Ireland|Printed by T. Ewing
4600833|The merry wives of Windsor|1820|English|London|England|Pub. for the Proprietors, by W. Simpkin, and R. Marshall [etc.]
4601109|Macbeth|1770|English|London|England|Printed for J. Rivington, W. Strahan, [etc.]
4601110|Titus Andronicus|1734|English|London|England|NA
4622966|The Life and death of Thomas, lord Cromwell... [Texte imprimé|1734|English|London|England|NA
4642533|The Dramatic works of William Shakespeare, in four volumes [Texte imprimé|1800|English|London|England|George Routledge and sons
4658948|Comedy of Errors|1785|English|London|England|Bell
4666604|Shakespeares Ende gut, alles gut|1809|German|Berlin|Germany|Hitzig
4668938|Schauspiele|1810|German|Tübingen|Germany|Cotta
4670297|König Heinrich VI. zweyter Theil. König Heinrich VI. dritter Theil|1812|German|Vienna|Austria|Pichler
4670656|Shakespear's dramatische Werke|1825|German|Leipzig|Germany|Göschen
4670657|Othello, der Mohr von Venedig. Ueber Shakespear|1826|German|Leipzig|Germany|Göschen
4671200|Versuch einer gebundenen Uebersetzung des Trauer-Spiels von dem Tode des Julius Cäsar|1741|German|Berlin|Germany|Haude
4671203|Hamlet, Prinz von Dännemark|1782|German|Hamburg|Germany|Herold
4671488|The works of Shakespear|1771|English|Edinburgh|Scotland|Donaldson
4671500|Willhelm Shakespears Schauspiele|1779|German|Mannheim|Germany|NA
4672721|The Plays Of William Shakspeare|1826|English|London|England|Jones
4672731|Timon von Athen|1825|German|Vienna|Austria|Sollinger
4672738|William Shakespeare|1778|Dutch|Amsterdam|Netherlands|Borchers
4672740|Twenty of the plays of Shakespeare|1766|English|London|England|Tonson [u.a.]
4673992|Hamlet, Prinz von Dännemark|1784|German|Hamburg|Germany|Herold
4674301|Measure for measure. Love's labour's lost. Merchant of Venice|1809|English|London|England|Vernor, Hood and Sharpe : Taylor and Hessey
4675082|The Plays of Shakespeare|1771|English|Dublin|Ireland|Ewing
4675408|The ... Part Of Henry VI|1735|English|London|England|Tonson
4678390|The Plays of Wiliam Shakespeare|1804|English|Leipzig|Germany|Fleischer
4680262|Shakspeare's Sämmtliche Schauspiele|1829|German|Gotha|Germany|Hennings
4682250|Othello The Moor Of Venice|1766|English|Göttingen|Germany|Bossiegel
4684754|The famous history of the life of King Henry VIII|1714|Undetermined|NA|NA|NA
4685679|Romeo and Juliet|1787|English|London|England|Printed for G. Lister
4689712|The two gentlemen of Verona|1734|English|London|England|NA
4689824|Cymbeline|1762|English|London|England|Printed for J. and R. Tonson in the Strand
4692974|Mr. William Shakespeares comedies, histories, & tragedies|1632|English|London|England|Printed by Tho. Cotes, for Robert Allot, and are [sic] sold at the signe of the Blacke Beare in Pauls Church-yard
4694655|The poems of William Shakespeare|1809|English|Boston Ma|USA|Munroe, Francis and Parker
4695250|Macbeth|1673|English|London|England|Printed for William Cademan at the Popes-Head in the New Exchange, in the Strand
4697970|The historie of Henry the Fourth|1639|English|London|England|Printed by John Norton, and are to be sold by Hugh Perry, at his shop next to Ivie-bridge in the Strand
4701017|Macbeth|1808|English|London|England|NA
4701047|The second part of Henry the Sixth|1734|English|London|England|Printed for J. Tonson
4701061|Macbeth, a tragedy|1800|English|Manchester|England|Printed and sold by R. & W. Dean; [etc., etc.]
4704048|King Henry V|1773|English|London|England|Printed for John Bell ..., and C. Etherington, at York
4721779|Mr William Shakespeares Comedies, histories and tragedies, published according to the true originall copies [Texte imprimé|1623|English|London|England|printed by I. Jaggard and E. Blount
4721780|Mr William Shakespeares Comedies, histories and tragedies, published according to the true originall copies [Texte imprimé|1632|English|London|England|printed by T. Cotes for R. Allot
4721781|Mr William Shakespeares Comedies, histories and tragedies, published according to the true originall copies [Texte imprimé|1632|English|London|England|printed by T. Cotes for J. Smethwick
4721782|Mr William Shakespeares Comedies, histories and tragedies, published according to the true originall copies [Texte imprimé|1663|English|London|England|printed for P. Chetwinde
4721783|Mr William Shakespear's Comedies, histories and tragedies, published according to the true original copies, unto which is added, seven plays, never before printed in folio, viz : Pericles, prince of Tyre ; The London prodigal ; The History of Thomas, lord Cromwel ; Sir John Oldcastle, lord Cobham ; The Puritan widow ; A Yorshire tragedy ; The Tragedy of Locrine. The 4th edition [Texte imprimé|1685|English|London|England|H. Herringman, E. Brewster and R. Bentley
4721784|The Works of Shakespear... collated and corrected by the former editions, by Mr Pope [Texte imprimé|1725|English|London|England|J. Tonson
4721785|The Works of Mr William Shakespear, the 7th volume containing : Venus and Adonis, Tarquin and Lucrece and Mr Shakespear's Miscellany poems ; to which is prefix'd an Essay on the art, rise and progress of the stage in Greece, Rome and England [by C. Gildon], and a glossary of the old words us'd in these works, the whole revis'd with a preface by Dr Sewell [Texte imprimé|1725|English|London|England|printed by J. Darby for A. Bettesworth, F. Fayram, W. Mears, J. Pemberton, J. Hooke, C. Rivington, F. Clay, J. Batley, E. Symon
4721786|Shakespeare restored, or a Specimen of the many errors as well committed as unamended by Mr Pope in his late edition of this poet, designed not only to correct the said edition, but to restore the true reading of Shakespeare in all the editions ever yet published, by Mr Theobald [Texte imprimé|1726|English|London|England|R. Franklin and T. Woodman
4721787|The Works of Shakespear... collated and corrected by the former editions, by Mr Pope. The 2nd edition [Texte imprimé|1728|English|London|England|J. Tonson
4721788|The Works of Mr William Shakespear, the 10th volume containing Venus and Adonis, Tarquin and Lucrece, with his Miscellany poems, to which are added critical remarks on his plays and an Essay on the art, rise and progress of the stage in Greece, Rome and England, both by Mr Gildon... The whole revised and corrected, with a preface, by Dr Sewell [Texte imprimé|1728|English|London|England|J. and J. Knapton
4721789|The Works of Shakespeare... [collated with the oldest copies and corrected, with notes explanatory and critical, by Mr Theobald.] [Texte imprimé|1733|English|London|England|A. Bettesworth and C. Hitch
4721790|The Works of Shakespeare... [collated with the oldest copies and corrected, with notes explanatory and critical, by Mr Theobald.] [Texte imprimé|1762|English|London|England|C. Hitch and L. Hawes
4721791|The Works of Shakespeare... [collated with the oldest copies and corrected, with notes explanatory and critical, by Mr Theobald.] [Texte imprimé|1767|English|London|England|J. and R. Tonson
4721792|The Works of Shakespeare, in eight volumes... [Texte imprimé|1735|English|London|England|J. Tonson
4721793|The Works of Shakespeare... [Texte imprimé|1739|English|Dublin|Ireland|J. Smith
4721794|The Works of Shakespear, in six volumes, carefully revised and corrected [by Sir T. Hanmer] by the former editions, and adorned with sculptures designed and executed by the best hands [Texte imprimé|1744|English|Oxford|England|printed at the Theatre
4721795|The Works of Shakespear, in eight volumes, the genuine text (collated with all the former editions and then corrected and amended) is here settled, being restored from the blunders of the first editors, and the interpolations of the two last, with a comment and notes critical and explanatory, by Mr Pope and Mr Warburton [Texte imprimé|1747|English|Dublin|Ireland|R. Owen
4721796|The Works of Shakespear, in eight volumes, the genuine text (collated with all the former editions and then corrected and amended) is here settled, being restored from the blunders of the first editors, and the interpolations of the two last, with a comment and notes critical and explanatory, by Mr Pope and Mr Warburton [Texte imprimé|1747|English|London|England|J. and P. Knapton
4721797|The Works of Mr William Shakespear... [Texte imprimé|1747|English|London|England|NA
4721798|The Works of Mr William Shakespear... [Texte imprimé|1750|English|London|England|NA
4721799|The Works of Shakespear... with a glossary carefully printed from the Oxford edition in-quarto, 1744 [Texte imprimé|1748|English|London|England|J. and P. Knapton
4721800|Mr William Shakespeare, His comedies, histories and tragedies set out by himself in-quarto, or by the players, his fellows, in-folio, and now faithfully republish'd from those editions in ten volumes octavo ; with an introduction [by Edward Capell] [Texte imprimé|1768|English|London|England|J. and R. Tonson
4721801|The Plays of William Shakespeare... [Texte imprimé|1773|English|London|England|C. Barthurst
4721802|Bell's edition of Shakespeare's plays, as they are now performed at the Theatres royal in London, regulated from the prompt books of each house by permission ; with notes critical and illustrative, by the authors of the Dramatic censor [Francis Gentleman]... [Texte imprimé|1774|English|London|England|NA
4721803|Stockdale's edition of Shakespeare including, in one volume, the whole of his dramatic works, with explanatory notes compiled from various commentators... [Texte imprimé|1784|English|London|England|J. Stockdale
4721804|The Plays of William Shakespeare... with the corrections... of various commentators, to which are added notes by Samuel Johnson and George Steevens. The 3d edition revised... by the editor of Dodsley's collection of old plays [Texte imprimé|1785|English|London|England|C. Bathurst
4721805|The Dramatic works of Shakespeare... with notes, by Joseph Rann,... [Texte imprimé|1786|English|Oxford|England|the Clarendon press
4721806|Shakespeare's Dramatic works, with explanatory notes. A new edition, to which is now added a copious index... by the Rev. Samuel Ayscough,... embellished with a striking likeness of Shakespeare from the original folio edition [Texte imprimé|1790|English|London|England|J. Stockdale
4721807|The Works of Shakespeare... [Texte imprimé|1800|English|Berwick-upon-Tweed|Scotland|printed by J. Taylor
4721808|The dramatic works of Shakespeare, revised by George Steevens... [Texte imprimé|1802|English|London|England|J. and J. Boydell, and W. Nicol
4721809|The Plays and poems of William Shakspeare, with the corrections... of various commentators, comprehending a life of the poet and an enlarged history of the stage, by the late Edmond Malone, with a new glossarial index. [Edited by James Boswell.] [Texte imprimé|1821|English|London|England|F. C. and J. Rivington
4721810|The Dramatic works of William Shakespeare, to which are added his miscellaneous poems [Texte imprimé|1823|English|London|England|J. H. Bohte
4721811|The Dramatic works of Shakspeare printed from the text of Samuel Johnson, George Steevens and Isaac Reed, complete in one volume. - An Appendix to Shakspeare's Dramatic works. Contents : The life of the author by Aug. Skottowe ; his miscellaneous poems ; a critical glossary, compiled after Nares, Drake, Ayscough, Hazlitt, Douce and others... [Texte imprimé|1824|English|Leipzic|NA|E. Fleisher
4721812|The Plays of Shakespeare... [Texte imprimé|1825|English|London|England|W. Pickering
4721813|The Dramatic works of William Shakespeare, printed from the text of the corrected copies of Steevens and Malone, with a life of the poet, by Charles Symmons... a glossary... Complete in one volume [Texte imprimé|1827|English|London|England|J. Carpenter and son
4721814|The Dramatic works of W. Shakspeare, from the text of Johnson, Steevens and Reed, with a biographical memoir and summary remarks on each play, embellished with a portrait of Shakspeare [Texte imprimé|1829|English|Paris|France|Baudry
4721815|The Dramatic works of W. Shakspeare, from the text of Johnson, Steevens and Reed, with a biographical memoir and summary remarks on each play, embellished with a portrait of Shakspeare [Texte imprimé|1830|English|Paris|France|Baudry
4721816|Prolegomena to the dramatick writings of Will. Shakspere [Texte imprimé|1786|English|London|England|J. Bell
4721817|Shakespeare traduit de l'anglois... [Texte imprimé|1776|French|Paris|France|Vve Duchesne (l'auteur)
4721818|Oeuvres complètes de Shakespeare, traduites de l'anglais par Letourneur. Nouvelle édition, revue et corrigée par F. Guizot et A. P. [Pichot], traducteur de Lord Byron, précédée d'une notice biographique et littéraire, sur Shakspeare, par F. Guizot... [Texte imprimé|1821|French|Paris|France|Ladvocat
4721819|Oeuvres de Shakspeare, traduites de l'anglais, par Letourneur. Nouvelle édition... augmentée des Commentaires de Voltaire et de La Harpe... [Texte imprimé|1821|French|Paris|France|Brissot-Thivars
4721820|Shakespear. Theatralische Werke, aus dem Englischen übersezt, von Herrn Wieland... [Texte imprimé|1762|German|Zürich|Germany|O. Gessner
4721821|William Shakespears Schauspiele. Neue Ausgabe, von Joh. Joach. Eschenburg,... [Texte imprimé|1775|German|Zürich|Germany|Orell, Gessner, Fuesslin und Cie
4721822|Shakspeare's dramatische Werke, übersetzt von August Wilhelm Schlegel... [Texte imprimé|1797|German|Berlin|Germany|NA
4721823|Shakspeare's von Schlegel noch unübersetzte dramatische Werke, übersetzt von mehreren Verfassern... [Texte imprimé|1809|German|Berlin|Germany|J. E. Hitzig
4721824|William Shakespear's Tooneelspelen, met de bronwellen, en aantekeningen van verscheide beroemde schryveren [van J. J. Eschenburg] naar het Engelsche en het Hoogduitsche vertaald... [Texte imprimé|1778|Dutch|Amsterdam|Netherlands|A. Borchers
4721825|William Shakespear's Tooneelspelen, met de bronwellen, en aantekeningen van verscheide beroemde schryveren [van J. J. Eschenburg] naar het Engelsche en het Hoogduitsche vertaald... [Texte imprimé|1778|Dutch|Amsterdam|Netherlands|A. Borchers
4721826|The Plays of King Lear and Cymbeline, by William Shakspear... The 2d edition... [Texte imprimé|1801|English|London|England|Lackington and Allen
4721827|Chefs-d'oeuvre de Shakspeare traduits... en vers blancs, en vers rimés et en prose, suivis de poésies diverses, par feu A. Bruguière, Bon de Sorsum,... revus par M. de Chênedollé [Texte imprimé|1826|French|Paris|France|Dondey-Dupré père et fils
4721828|Schauspiele, von William Shakspeare, übersezt von Heinrich Voss und Abraham Voss... [Texte imprimé|1810|German|Tübingen|Germany|J. G. Cotta
4721829|William Shakspeare's Tragiske voerker, oversatte of Peter Foersom,... [og P. F. Wulff] 2den... udgave [Texte imprimé|1811|Danish|Copenhagen|Denmark|trykt paa F. Brummer
4721830|The Beauties of Shakspeare, selected from his works, to which are added the principal scenes in the same author. The 3d edition... [Texte imprimé|1784|English|London|England|G. Kearsley
4721831|A Catalogue of the pictures, etc. in the Shakspeare gallery, Pallmall. [By John Boydell.] [Texte imprimé|1791|English|London|England|printed for the proprietors
4721832|Miscellaneous papers and legal instruments under the hand and seal of William Shakspeare, including the tragedy of King Lear, and a small fragment of Hamlet, from the original mss. in the possession of Samuel Ireland,... [Texte imprimé|1796|English|London|England|Egerton
4721833|Gallery of Shakspeare, or Illustrations of his dramatic works, engraved in aqua-fortis from Retzsch, with scenes selected from Shakspeare and explanations, by J. W. Lake... [Texte imprimé|1828|English|London|England|NA
4721834|The Gallery of Shakspeare, or Illustrations of his dramatic works... in... etchings, on steel, from Rulh, to which are annexed descriptions of the plates [Texte imprimé|1829|English|London|England|Ackermann
4721835|Gallerie zu Shakspeare's dramatischen Werken, in Umrissen erfunden und gestochen, von Moritz Retzsch... mit C. A. Boettiger's Andeutungen und den szenischen Stellen des Textes... [Texte imprimé|1828|German|Leipzig|Germany|E. Fleischer
4721836|Pensées de Shakspeare, suivies de quelques scènes de ses tragédies [Texte imprimé|1822|French|Paris|France|Librairie nationale et étrangère
4721837|Galerie de Shakespeare, dessins pour ses oeuvres dramatiques gravés à l'eau forte d'après Retzsch, avec des explications traduites de l'allemand du professeur Boettiger, par Mme Élise Voïart et des scènes de Shakspeare, traduites par M. Guizot et le traducteur de Lord Byron [A. Pichot]... [Texte imprimé|1828|French|Paris|France|Audot
4721838|Galerie de Shakspeare... dessins de Ruhl... accompagnés d'une analyse de la pièce [Texte imprimé|1829|French|Paris|France|Audot
4721839|All's well that ends well, a comedy, by Mr. William Shakespear [Texte imprimé|1734|English|London|England|J. Tonson
4721840|All's well that ends well, a comedy, by Shakespeare, as performed at the Theatre-royal, Drury-Lane... An introduction and notes... are added by the authors of the Dramatic censor [Texte imprimé|1774|English|London|England|J. Bell
4721841|All's well that ends well, by Will. Shakspere ; printed complete from the text of Sam. Johnson and Geo. Steevens and revised from the last editions [Texte imprimé|1786|English|London|England|J. Bell
4721842|All's well that ends well, by Will. Shakspere ; printed complete from the text of Sam. Johnson and Geo. Steevens and revised from the last editions [Texte imprimé|1786|English|London|England|J. Bell
4721843|Antony and Cleopatra, a tragedy, by Mr. William Shakespear [Texte imprimé|1734|English|London|England|J. Tonson
4721844|Antony and Cleopatra, an historical play, written by William Shakespeare ; fitted for the stage by abridging only, and now acted, at the Theatre-royal in Drury-Lane... [Texte imprimé|1758|English|London|England|J. and R. Tonson
4721845|Antony and Cleopatra, a tragedy, by Shakespeare. An introduction and notes... are added... by the authors of the Dramatic censor [Texte imprimé|1774|English|London|England|J. Bell
4721846|Antony and Cleopatra, by Will. Shakspere, printed complete from the text of Sam. Johnson and Geo. Steevens and revised from the last editions [Texte imprimé|1786|English|London|England|J. Bell
4721847|Antony and Cleopatra, by Will. Shakspere, printed complete from the text of Sam. Johnson and Geo. Steevens and revised from the last editions [Texte imprimé|1786|English|London|England|J. Bell
4721848|Annotations by Sam. Johnson and Geo. Steevens and the various commentators upon Antony and Cleopatra, written by Will. Shakspere [Texte imprimé|1787|English|London|England|J. Bell
4721849|Antony and Cleopatra, a historical play, in 5 acts, by William Shakspeare... with remarks by Mrs. Inchbald [Texte imprimé|1808|English|London|England|Longman, Hurst, Rees and Orme
4721850|All for love, or the World well lost, a tragedy, as it is acted at the Theatre royal, and written in imitation of Shakespeare's stile, by John Dryden,... [Texte imprimé|1678|English|London|England|H. Herringman
4721851|All for love, or the World well lost, a tragedy, as it is acted at the Theatre royal, and written in imitation of Shakespeare's stile, by John Dryden,... [Texte imprimé|1692|English|London|England|H. Herringman
4721852|All for love, or the World well lost, a tragedy, as it is acted at the Theatre royal, and written in imitation of Shakespeare's stile, by John Dryden,... [Texte imprimé|1703|English|London|England|R. Wellington
4721853|All for love, or the World well lost, a tragedy, as it is acted at the Theatre royal, and written in imitation of Shakespeare's stile, by John Dryden,... [Texte imprimé|1720|English|London|England|T. Johnson
4721854|All for love, or the World well lost, as written by Mr Dryden, distinguishing also the variations of the theatre, as performed at the Theatre-royal, in Drury-Lane, regulated from the prompt-book... by Mr Hopkins,... [Texte imprimé|1776|English|London|England|J. Bell
4721855|All for love, or the World well lost, as written by Mr Dryden, distinguishing also the variations of the theatre, as performed at the Theatre-royal, in Drury-Lane, regulated from the prompt-book... by Mr Hopkins,... [Texte imprimé|1782|English|London|England|J. Bell
4721856|All for love, or the World well lost, as written by Mr Dryden, distinguishing also the variations of the theatre, as performed at the Theatre-royal, in Drury-Lane, regulated from the prompt-book... by Mr Hopkins,... [Texte imprimé|1792|English|London|England|J. Bell
4721858|As you like it, a comedy, by Mr William Shakespear [Texte imprimé|1734|English|London|England|J. Tonson
4721859|As you like it, comedy, by Shakespeare... as performed at the Theatre-royal, Drury-Lane... An introduction and notes... are added by the authors of the Dramatic censor [Texte imprimé|1774|English|London|England|J. Bell
4721860|As you like it, by Will. Shakspere, printed complete from the text of Sam. Johnson and Geo. Steevens, and revised from the last editions [Texte imprimé|1785|English|London|England|J. Bell
4721861|As you like it, by Will. Shakspere, printed complete from the text of Sam. Johnson and Geo. Steevens, and revised from the last editions [Texte imprimé|1785|English|London|England|J. Bell
4721862|Annotations by Sam. Johnson and Geo. Steevens and the various commentators upon As you like it, written by Will. Shakspere [Texte imprimé|1787|English|London|England|J. Bell
4721863|As you like it, a comedy, in 5 acts, by William Shakspeare... with remarks by Mrs. Inchbald [Texte imprimé|1808|English|London|England|Longman, Hurst, Rees and Orme
4721864|The Comedy of errors, by Mr. William Shakespear [Texte imprimé|1734|English|London|England|J. Tonson
4721865|The Comedy of errors, by Shakespeare. An introduction and notes... are added by the authors of the Dramatic censor [Texte imprimé|1774|English|London|England|J. Bell
